Wall time,Step,Value
1553017342.876566,18,-2.397850275039673
1553017357.7670407,42,-4.579103946685791
1553017359.620725,45,-4.200665473937988
1553017366.49696,56,-5.344180583953857
1553017375.806433,71,-5.421193599700928
1553017390.4677424,94,-5.663125991821289
1553017428.331911,155,-5.9083709716796875
1553017430.2136211,158,-5.472445964813232
1553017435.721627,167,-6.069311618804932
1553017473.7643979,229,-5.388436317443848
1553017476.808352,234,-5.560909271240234
1553017489.6727805,255,-5.821523189544678
1553017492.7175498,260,-5.95071268081665
1553017496.9977224,267,-6.129271030426025
1553017500.7188096,273,-5.821248531341553
1553017522.3079839,308,-5.387491226196289
1553017523.5230882,310,-5.691426753997803
1553017528.3985136,318,-5.819467067718506
1553017546.1316502,347,-5.603077411651611
1553017558.3360436,367,-5.800703048706055
1553017591.514606,421,-5.648099422454834
1553017592.1441784,422,-6.276285171508789
1553017604.4176333,442,-5.262690544128418
1553017615.4025338,460,-6.140859127044678
1553017623.9354465,474,-5.164662837982178
1553017662.0136795,536,-5.780768394470215
1553017678.5439084,563,-5.457576751708984
1553017688.3028004,579,-6.042533874511719
1553017692.5633795,586,-6.21173095703125
1553017693.1719325,587,-6.330478191375732
1553017713.5168781,620,-6.106581211090088
1553017722.050632,634,-6.355170726776123
1553017726.922062,642,-5.988455295562744
1553017729.9949312,647,-5.97318172454834
1553017731.2080326,649,-5.669283390045166
1553017738.5687218,661,-6.182003021240234
1553017744.6432424,671,-5.562709331512451
1553017771.021935,714,-5.907360076904297
1553017775.8993537,722,-5.521851062774658
1553017780.790812,730,-5.011021614074707
1553017796.608559,756,-6.184701442718506
1553017802.0915282,765,-6.037975788116455
1553017804.5197337,769,-5.287617206573486
1553017805.7528782,771,-6.145406246185303
1553017814.344591,785,-5.77025842666626
1553017815.5767097,787,-6.156913757324219
1553017819.8656278,794,-5.859468936920166
1553017824.9217348,802,-5.859042167663574
1553017828.5916042,808,-5.679579734802246
1553017845.6791503,836,-5.173587322235107
1553017890.3943079,909,-5.577226638793945
1553017910.5821173,942,-5.393045425415039
1553017912.4026275,945,-5.566585540771484
1553017922.7666492,962,-5.634352207183838
1553017928.25111,971,-5.064408302307129
1553017928.885687,972,-5.65469217300415
1553017932.5290782,978,-6.0731329917907715
1553017936.1800544,984,-5.604849338531494
1553017947.316296,1002,-4.975207805633545
1553017949.1559548,1005,-5.512795925140381
1553017954.6329448,1014,-5.477503776550293
1553017984.5607293,1063,-5.504819393157959
1553017986.3823855,1066,-5.703892707824707
1553017990.048533,1072,-5.61419677734375
1553017993.6942968,1078,-5.51560115814209
1553018002.8584437,1093,-5.653909206390381
1553018006.514995,1099,-5.944850921630859
1553018009.7046528,1104,-5.021826267242432
1553018041.3946354,1156,-5.32766580581665
1553018044.4261003,1161,-5.108506679534912
